date,product_id,product_name,category,sub_category,cost_price,base_msrp,current_price,discount_pct,is_promotion,competitor_1_price,competitor_2_price,competitor_3_price,comp_avg_price,comp_min_price,price_diff_vs_comp_avg,price_ratio_vs_min,product_rating,rating_count,units_sold,revenue,gross_profit,profit_margin_pct,stock_level,stockout_flag,day_of_week,month,is_weekend,is_holiday,macro_economic_index,sales_channel
2025-01-01,PROD_ELEC_001,Aura Pro Wireless Noise-Cancelling Headphones,Electronics,Audio,110.0,199.99,171.79,14.1,1,187.64,184.78,202.65,191.69,184.78,-19.9,0.9297,4.6,1240,99,17007.21,6117.21,35.97,450,0,Wednesday,1,0,1,100.53,Amazon Marketplace
2025-01-01,PROD_ELEC_002,UltraView 27-inch 4K UHD Gaming Monitor,Electronics,Monitors,210.0,349.99,304.84,12.9,1,365.75,344.66,352.39,354.27,344.66,-49.43,0.8845,4.7,890,100,30484.0,9484.0,31.11,280,0,Wednesday,1,0,1,100.53,Amazon Marketplace
2025-01-01,PROD_ELEC_003,Vortex Pulse Smartwatch with Heart Rate & GPS,Electronics,Wearables,75.0,149.99,123.44,17.7,1,156.55,144.36,144.15,148.35,144.15,-24.91,0.8563,4.4,2150,115,14195.6,5570.6,39.24,600,0,Wednesday,1,0,1,100.53,Mobile App
2025-01-01,PROD_ELEC_004,HyperCharge 65W GaN Fast Charger Multi-Port,Electronics,Accessories,14.0,39.99,31.27,21.8,1,39.35,37.35,36.67,37.79,36.67,-6.52,0.8527,4.8,4320,122,3814.94,2106.94,55.23,1200,0,Wednesday,1,0,1,100.53,Amazon Marketplace
2025-01-01,PROD_ELEC_005,NovaCast 4K Streaming Media Player HDR,Electronics,Home Entertainment,22.0,49.99,44.59,10.8,1,47.82,53.61,48.92,50.12,47.82,-5.53,0.9325,4.5,3100,90,4013.1,2033.1,50.66,850,0,Wednesday,1,0,1,100.53,Direct Web Store
2025-01-01,PROD_APP_001,AeroFit Men's Breathable Running Performance Jacket,Apparel,Activewear,28.0,69.99,53.75,23.2,1,72.0,68.07,71.46,70.51,68.07,-16.76,0.7896,4.3,640,180,9675.0,4635.0,47.91,520,0,Wednesday,1,0,1,100.53,Mobile App
2025-01-01,PROD_APP_002,Lumina Seamless High-Waist Workout Leggings,Apparel,Activewear,16.0,44.99,39.46,12.3,1,44.66,44.53,41.02,43.4,41.02,-3.94,0.962,4.7,1820,92,3630.32,2158.32,59.45,940,0,Wednesday,1,0,1,100.53,Mobile App
2025-01-01,PROD_APP_003,Oxford Heritage Slim-Fit Organic Cotton Shirt,Apparel,Casual Wear,22.0,54.99,45.48,17.3,1,58.22,53.02,51.62,54.29,51.62,-8.81,0.8811,4.5,510,104,4729.92,2441.92,51.63,410,0,Wednesday,1,0,1,100.53,Direct Web Store
2025-01-01,PROD_APP_004,ThermalShield Lightweight Down Winter Puffer,Apparel,Outerwear,48.0,119.99,98.39,18.0,1,127.88,112.68,116.41,118.99,112.68,-20.6,0.8732,4.6,980,108,10626.12,5442.12,51.21,310,0,Wednesday,1,0,1,100.53,Mobile App
2025-01-01,PROD_HOME_001,ChefMaster 8-in-1 Digital Air Fryer & Roaster 6Qt,Home & Kitchen,Kitchen Appliances,45.0,99.99,86.79,13.2,1,97.89,97.21,103.12,99.41,97.21,-12.62,0.8928,4.7,3450,107,9286.53,4471.53,48.15,390,0,Wednesday,1,0,1,100.53,Mobile App
2025-01-01,PROD_HOME_002,BaristaTouch 15-Bar Espresso & Cappuccino Machine,Home & Kitchen,Coffee Machines,95.0,189.99,152.75,19.6,1,186.05,187.26,168.76,180.69,168.76,-27.94,0.9051,4.5,1120,115,17566.25,6641.25,37.81,210,0,Wednesday,1,0,1,100.53,Mobile App
2025-01-01,PROD_HOME_003,PureBreeze HEPA Smart Air Purifier with Sensor,Home & Kitchen,Home Appliances,55.0,129.99,115.17,11.4,1,127.85,128.05,137.7,131.2,127.85,-16.03,0.9008,4.6,1430,73,8407.41,4392.41,52.24,480,0,Wednesday,1,0,1,100.53,Direct Web Store
